prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
5763,AC-BC-638-48,HL ML Fork - Red- 48,2668.0,M ,2021-06-10,
1707,CO-HB-352-48,LL LL Road Seat/Saddle - Red- 48,2657.0,M ,2019-10-05,2023-07-25
4633,CO-HS-143-62,LL ML Touring Seat/Saddle - White- 62,3472.0,S ,2012-05-27,2014-06-12
1840,CO-HB-144-42,ML LL Mountain Pedal - White- 42,2673.0,M ,2015-08-08,
3373,AC-CL-177-60,ML LL Mountain Rear Wheel - Silver- 60,2516.0,S ,2020-01-29,
1009,CL-CA-601-58,HL Chain - Yellow- 58,8.0,T ,2011-04-03,2013-12-20
1663,AC-TT-707-42,ML ML Fork - Red- 42,2333.0,T ,2013-12-23,
5264,CL-SO-584-62,LL HL Crankset - Black- 62,1249.0,S ,2011-01-06,2013-01-19
1158,CO-HS-943-38,HL Mountain Pump - Blue- 38,2734.0,R ,2021-10-09,
3836,AC-CL-148-38,HL HL Touring Handlebars - Yellow- 38,1686.0,T ,2016-03-09,2017-01-02
4126,CL-JE-559-42,ML HL Mountain Seat/Saddle - Red- 42,,,2022-08-29,2024-12-24
1974,AC-PA-826-42,ML Taillights - Blue- 42,700.0,S ,2015-08-23,
1225,CL-SO-941-48,ML Long - Yellow- 48,2202.0,T ,2022-02-15,
3957,AC-LI-668-38,ML Headlights - White- 38,2794.0,R ,2017-01-09,
1240,CO-BR-915-60,LL Fender Set - Black- 60,1906.0,T ,2012-04-07,2013-02-23
772,CL-SH-180-42,ML LL Road Frame - Blue- 42,,S ,2015-09-04,2019-12-26
805,CL-TI-442-42,HL LL Touring Frame - Silver- 42,687.0,,2019-01-25,
5916,CL-SO-153-42,HL HL Road Front Wheel - Blue- 42,531.0,M ,2016-12-03,2017-12-27
5079,CO-DE-195-52,ML HL Mountain Handlebars - Yellow- 52,1277.0,T ,2025-02-15,
396,CO-CS-773-60,LL ML Road Frame - Black- 60,3277.0,R ,2016-12-15,2020-09-25
3576,CO-HS-897-58,LL LL Touring Handlebars - Black- 58,2621.0,T ,2012-02-03,2011-07-10
2104,AC-FE-651-58,LL Rear Brakes - Blue- 58,235.0,M ,2019-06-01,2023-09-24
2807,CO-TF-902-58,LL HL Touring Frame - Yellow- 58,784.0,M ,2017-07-16,2020-12-13
6573,CL-JE-119-62,LL HL Mountain Seat/Saddle - Black- 62,1804.0,R ,2021-04-21,2022-09-08
4054,CO-CS-475-52,LL Road - Yellow- 52,918.0,T ,2023-06-28,2028-02-28
4049,AC-LI-851-48,ML ML Touring Seat/Saddle - Red- 48,997.0,R ,2020-12-20,
1700,CO-FO-265-58,HL Headlights - Silver- 58,515.0,T ,2017-07-25,
4262,AC-FE-962-42,LL Half - Blue- 42,706.0,T ,2022-03-23,2025-10-11
6348,AC-LO-373-52,LL HL Mountain Frame - Black- 52,,M ,2015-09-08,
4079,CL-CA-200-44,LL Classic Vest - Red- 44,,T ,2012-03-11,
6233,AC-PA-485-62,LL Hitch Rack - Red- 62,,,2013-11-21,
3080,CO-FO-372-58,LL ML Mountain Front Wheel - Silver- 58,3239.0,M ,2017-08-06,
2118,CO-BB-550-38,HL LL Headset - Yellow- 38,1917.0,,2012-11-13,
1881,AC-TT-656-58,ML HL Bottom Bracket - Red- 58,2436.0,R ,2013-07-06,2016-07-31
1021,CO-BB-471-42,ML Bike Wash - Black- 42,974.0,M ,2023-01-25,2024-02-07
6406,CO-FO-425-48,LL Minipump - Silver- 48,169.0,S ,2018-11-24,
6107,AC-TT-856-44,LL HL Road Seat/Saddle - Black- 44,,S ,2017-07-01,2021-07-15
4462,AC-PU-393-58,HL Rear Derailleur - White- 58,3067.0,M ,2023-09-05,2024-06-22
2293,AC-PU-600-48,ML LL Road Pedal - Red- 48,1196.0,S ,2023-10-12,
338,CO-MF-996-62,ML Front Brakes - Silver- 62,2872.0,S ,2015-04-10,2018-04-03
5115,CO-TF-811-52,HL HL Fork - White- 52,2125.0,S ,2023-08-17,2026-11-04
5941,AC-BC-191-60,ML LL Road Handlebars - White- 60,,S ,2014-08-27,
5978,CL-VE-125-44,HL Touring - Yellow- 44,3081.0,M ,2011-11-12,2015-12-06
3255,CO-SA-701-52,LL Rear Brakes - Blue- 52,1762.0,M ,2021-01-16,
2274,CO-MF-418-42,HL HL Touring Seat/Saddle - Blue- 42,3137.0,R ,2013-01-02,
5991,AC-BR-191-58,ML ML Mountain Front Wheel - Silver- 58,1946.0,R ,2011-06-09,
6663,CO-HB-757-60,HL ML Headset - Blue- 60,1229.0,R ,2012-05-19,
1366,CL-CA-738-44,ML Mountain Bottle Cage - Black- 44,1005.0,R ,2016-06-04,
2535,AC-HP-644-52,ML ML Road Frame - Blue- 52,,M ,2020-02-07,
1227,AC-LO-750-52,ML Sport - White- 52,305.0,S ,2021-10-01,
6007,CO-HB-549-42,ML LL Road Rear Wheel - Black- 42,3213.0,M ,2013-10-26,
2878,AC-CL-640-48,HL HL Fork - Blue- 48,1049.0,M ,2012-12-23,
5728,AC-LO-258-58,HL ML Road Handlebars - Red- 58,,,2012-06-15,2016-07-08
3547,CL-BS-236-58,ML Classic Vest - White- 58,1368.0,R ,2024-12-15,
4342,AC-BC-998-48,LL Men's Bib - Silver- 48,1342.0,,2012-09-02,2013-06-13
3916,CO-WH-247-58,HL Women's Mountain Shorts - Blue- 58,928.0,S ,2024-12-12,
1511,AC-HP-331-38,ML LL Mountain Tire - Blue- 38,841.0,R ,2016-06-11,2018-11-18
6175,AC-LI-669-38,ML HL Mountain Handlebars - Blue- 38,484.0,R ,2021-12-26,2022-07-24
4134,AC-BC-976-38,LL ML Crankset - Yellow- 38,-930.0,M ,2015-05-10,
2434,AC-BR-764-48,ML ML Road Front Wheel - Red- 48,,R ,2015-01-21,2019-04-03
4581,AC-LI-661-48,LL HL Fork - Silver- 48,606.0,T ,2018-12-02,2021-03-25
1679,CO-WH-787-62,ML HL Bottom Bracket - Blue- 62,,M ,2016-02-29,
2853,CO-BR-760-52,HL ML Mountain Seat/Saddle - Black- 52,,T ,2012-11-05,
4951,CL-TI-927-44,LL Rear Brakes - Blue- 44,3395.0,S ,2011-05-20,2013-12-31
3633,CL-CA-277-58,HL Touring Tire - Red- 58,,S ,2019-12-06,
2330,AC-BR-922-52,ML LL Headset - White- 52,2706.0,R ,2018-12-11,2022-10-20
937,CO-CH-639-38,HL Touring Front Wheel - White- 38,2455.0,R ,2021-02-06,
5136,AC-PA-242-44,HL ML Touring Seat/Saddle - Red- 44,255.0,M ,2011-07-22,
6395,CL-VE-221-42,LL AWC Logo Cap - White- 42,2461.0,T ,2011-10-24,2013-08-23
3097,CO-FO-934-60,ML HL Road Handlebars - Black- 60,3448.0,T ,2012-05-05,2014-09-21
5612,CL-BS-924-42,HL LL Road Pedal - Yellow- 42,,M ,2019-05-27,2020-09-17
5034,AC-TT-417-62,ML ML Fork - Black- 62,1000.0,M ,2020-11-30,
412,CO-HB-215-38,ML LL Road Rear Wheel - Silver- 38,3493.0,M ,2013-10-10,
3535,AC-CL-466-62,ML ML Road Rear Wheel - Blue- 62,65.0,T ,2023-09-01,2027-12-23
5726,CO-WH-666-58,ML LL Mountain Pedal - Red- 58,2969.0,S ,2016-02-10,2016-10-28
250,AC-CL-520-44,HL Men's Bib - White- 44,3021.0,S ,2013-10-11,2015-10-23
4004,AC-LI-484-48,HL Front Derailleur - Black- 48,1724.0,T ,2012-07-14,2016-10-16
628,AC-PA-529-42,ML Fender Set - Blue- 42,454.0,M ,2018-11-03,2022-10-27
1488,BI-RB-173-44,HL ML Fork - Red- 44,394.0,,2012-02-07,
4884,CL-BS-980-44,ML Road Bottle Cage - White- 44,,T ,2018-01-02,
1054,CO-RF-998-44,ML HL Touring Handlebars - Yellow- 44,2237.0,T ,2022-08-03,2025-07-31
1419,CO-FO-121-42,HL Touring Pedal - Yellow- 42,2832.0,T ,2013-12-10,
2404,BI-TB-453-38,HL HL Road Tire - Black- 38,1360.0,T ,2017-05-25,2019-02-10
2969,AC-LO-429-48,LL Bike Wash - Blue- 48,3125.0,S ,2011-02-23,
2281,CL-GL-666-60,ML LL Road Handlebars - White- 60,866.0,S ,2020-05-09,
4255,CL-VE-953-44,HL Hitch Rack - Red- 44,1303.0,T ,2016-03-28,
4110,CO-WH-858-58,ML LL Road Rear Wheel - Silver- 58,400.0,R ,2014-05-31,
3292,AC-HP-745-52,LL ML Road Tire - Yellow- 52,2801.0,T ,2021-08-15,2024-11-30
1095,CL-SO-810-52,ML Touring Rear Wheel - Red- 52,1045.0,T ,2014-10-24,
272,CL-TI-736-44,LL HL Road Pedal - Yellow- 44,534.0,R ,2011-04-21,
483,CL-BS-875-58,LL HL Touring Handlebars - Blue- 58,507.0,S ,2023-10-02,2024-05-26
4826,CO-TF-765-42,HL LL Touring Seat/Saddle - Silver- 42,1664.0,T ,2018-12-29,2019-12-20
3053,CL-SO-872-44,LL LL Mountain Front Wheel - Red- 44,1888.0,S ,2014-08-05,2015-04-30
5720,CO-RF-496-58,ML ML Mountain Frame - Blue- 58,1333.0,R ,2012-09-03,
4629,CL-JE-401-42,HL Touring Tire - Red- 42,1386.0,T ,2017-08-24,2020-07-14
2820,CO-BR-509-48,ML ML Mountain Tire - Red- 48,1745.0,R ,2023-12-29,
2474,CL-SH-898-58,LL Short - White- 58,3118.0,R ,2011-06-07,2014-01-07
3208,AC-BR-989-52,ML HL Fork - Silver- 52,,M ,2024-02-10,2025-06-30
1310,CL-VE-174-60,LL AWC Logo Cap - Red- 60,2281.0,S ,2022-06-07,2026-09-17
4653,BI-RB-366-48,ML All - Silver- 48,2437.0,R ,2011-03-25,2012-06-22
6405,CL-JE-889-48,ML HL Road Pedal - Red- 48,1066.0,T ,2023-01-13,
6454,CO-CH-511-52,ML HL Mountain Pedal - Red- 52,1108.0,S ,2014-09-21,
6598,CL-VE-363-60,ML ML Road Front Wheel - White- 60,888.0,S ,2015-01-20,
2524,AC-CL-673-48,LL HL Road Front Wheel - White- 48,,T ,2019-07-15,2022-03-26
577,CO-DE-960-38,HL ML Mountain Pedal - Red- 38,2896.0,S ,2018-12-12,
1173,AC-PA-479-38,ML Rear Derailleur - Yellow- 38,,R ,2019-01-28,2021-08-03
4926,CO-PD-968-48,ML Road Tire Tube - Black- 48,3345.0,R ,2017-08-04,2018-05-26
4387,AC-BC-364-52,ML LL Mountain Frame - Silver- 52,,M ,2018-02-11,
5501,CO-MF-874-42,LL HL Mountain Pedal - Yellow- 42,2286.0,T ,2022-07-11,
501,AC-BR-532-48,ML LL Mountain Front Wheel - Blue- 48,,R ,2017-10-21,
3310,AC-BR-574-62,ML ML Mountain Front Wheel - Silver- 62,3201.0,T ,2020-08-04,2024-04-14
2343,CO-RF-198-62,ML Rear Derailleur - Red- 62,910.0,S ,2014-06-06,2016-10-27
394,CL-BS-846-52,HL Bike Wash - Silver- 52,2284.0,R ,2014-01-21,
682,AC-PU-108-38,HL HL Fork - Red- 38,3380.0,M ,2011-04-04,
6140,CO-DE-338-48,ML HL Road Tire - Blue- 48,604.0,R ,2019-08-25,2020-03-30
6268,CL-CA-266-48,HL ML Mountain Tire - Blue- 48,1363.0,T ,2013-10-21,
5714,CL-VE-802-52,ML ML Road Frame - White- 52,2502.0,M ,2017-06-13,
4724,CL-VE-844-44,ML LL Road Front Wheel - Silver- 44,1139.0,R ,2016-07-02,
6606,CO-SA-641-38,ML Front Derailleur - Red- 38,2879.0,M ,2018-11-13,2021-05-01
2393,CO-WH-784-48,HL AWC Logo Cap - Red- 48,915.0,M ,2015-08-31,2016-06-29
2039,AC-HE-565-62,LL Chain - Blue- 62,31.0,S ,2021-12-10,
3992,AC-PU-211-62,ML ML Road Front Wheel - Silver- 62,3095.0,R ,2023-02-20,
2627,CL-CA-260-44,ML LL Road Seat/Saddle - White- 44,2230.0,M ,2019-05-05,2020-01-11
3987,AC-FE-622-38,HL Chain - Red- 38,3104.0,T ,2013-12-13,
5347,AC-PU-665-48,ML LL Mountain Frame - Silver- 48,2860.0,R ,2020-03-12,
4441,CO-BB-533-44,LL HL Road Frame - Red- 44,1525.0,S ,2021-03-29,
1496,AC-TT-981-42,LL Men's Bib - Black- 42,3197.0,M ,2020-07-30,
2160,AC-BR-867-48,ML HL Mountain Front Wheel - Blue- 48,3047.0,R ,2024-09-19,
5030,CO-MF-493-48,HL Rear Brakes - Black- 48,2991.0,M ,2020-07-12,
881,CO-HB-853-62,ML HL Road Front Wheel - Black- 62,1069.0,R ,2021-09-18,2023-06-10
5161,AC-CL-468-52,ML Racing Socks - Blue- 52,2046.0,R ,2021-05-03,
3007,CL-JE-677-52,ML HL Bottom Bracket - Red- 52,2891.0,S ,2020-08-03,2022-06-16
6428,AC-CL-721-58,HL ML Mountain Front Wheel - Yellow- 58,1856.0,R ,2012-09-30,
1440,CO-SA-634-42,HL ML Bottom Bracket - White- 42,2174.0,T ,2018-07-22,
2494,AC-CL-297-42,LL HL Crankset - Black- 42,423.0,S ,2019-09-15,
4529,AC-BR-198-52,LL HL Road Rear Wheel - Yellow- 52,2367.0,S ,2014-12-16,2015-08-10
2735,CL-JE-212-60,ML Hitch Rack - Blue- 60,2708.0,T ,2019-05-22,
4559,AC-PU-267-42,LL HL Road Rear Wheel - Blue- 42,,,2024-09-17,
1156,CO-MF-668-58,HL All - Blue- 58,1099.0,R ,2013-08-17,
2144,CL-TI-229-58,ML LL Touring Seat/Saddle - Yellow- 58,781.0,T ,2021-10-08,2025-07-09
5186,AC-BS-112-44,HL Men's Sports Shorts - Red- 44,1546.0,S ,2023-01-03,2021-12-26
6725,CO-BR-489-42,HL LL Mountain Seat/Saddle - Silver- 42,1099.0,R ,2021-05-07,
1589,CO-HB-468-62,HL ML Road Handlebars - Red- 62,1686.0,T ,2012-08-16,2016-09-25
3809,AC-HP-799-60,LL ML Mountain Seat/Saddle - Red- 60,1186.0,M ,2022-03-21,
5349,CO-PD-131-62,HL Half - Yellow- 62,,S ,2011-07-24,2013-01-22
1438,CL-GL-426-52,HL ML Mountain Pedal - Blue- 52,3134.0,R ,2015-09-10,2017-04-19
5699,CO-CS-941-38,HL LL Crankset - White- 38,502.0,T ,2022-12-15,2026-07-31
589,AC-BR-313-38,LL Minipump - Blue- 38,1225.0,T ,2021-09-13,
1330,AC-LO-180-62,HL HL Mountain Frame - Black- 62,3113.0,M ,2019-12-16,2022-12-11
5621,CO-CS-797-38,LL Road Bottle Cage - Silver- 38,3025.0,T ,2024-07-13,
2341,AC-PA-482-52,ML LL Road Frame - Black- 52,,T ,2014-04-26,2015-12-02
6603,CO-PD-627-38,ML LL Road Front Wheel - Blue- 38,,T ,2016-04-01,
1462,AC-CL-762-38,LL HL Road Tire - Red- 38,805.0,S ,2020-06-28,
418,AC-HP-902-58,HL HL Road Pedal - Red- 58,2627.0,T ,2021-12-04,2025-05-26
3210,CO-HB-562-44,LL HL Mountain Rear Wheel - Yellow- 44,,T ,2014-12-18,
6074,CL-JE-497-62,LL HL Bottom Bracket - White- 62,2429.0,S ,2025-01-17,
2812,CO-RF-164-38,LL HL Mountain Front Wheel - Red- 38,,T ,2016-11-03,
2448,CO-MF-357-48,LL ML Touring Seat/Saddle - Silver- 48,907.0,M ,2022-07-14,
5919,AC-PA-987-48,ML ML Road Frame - Black- 48,3275.0,T ,2022-05-11,
2528,AC-PU-645-38,HL Road - Yellow- 38,1693.0,S ,2018-03-14,
298,AC-TT-248-58,HL Women's Tights - White- 58,1602.0,S ,2013-02-17,2017-08-29
2923,AC-LI-352-44,ML Water Bottle - Yellow- 44,683.0,R ,2024-01-26,2026-07-28
2746,AC-TT-995-52,LL ML Bottom Bracket - Black- 52,1097.0,M ,2013-03-29,2013-10-28
950,CO-FO-768-60,ML LL Road Pedal - Blue- 60,1944.0,M ,2019-08-18,2020-12-23
6109,CO-BB-366-44,ML ML Fork - Yellow- 44,2155.0,T ,2021-04-20,
1703,AC-BR-184-38,HL Patch Kit/8 Patches - Red- 38,2045.0,R ,2021-10-07,2023-12-19
6478,CL-GL-362-62,ML Classic Vest - Black- 62,1695.0,M ,2016-11-12,2018-11-23
1556,CO-MF-569-62,ML Rear Derailleur - Red- 62,3124.0,R ,2021-05-06,2022-10-29
4862,BI-RB-110-42,LL Racing Socks - Yellow- 42,627.0,T ,2018-06-18,2022-01-19
1403,AC-BC-255-48,ML HL Headset - Blue- 48,2516.0,R ,2012-12-19,2016-10-29
2912,AC-CL-418-60,ML ML Mountain Pedal - Red- 60,3130.0,M ,2017-10-16,2019-02-20
5792,CL-SO-791-38,LL Men's Sports Shorts - Red- 38,970.0,T ,2019-06-30,
4150,AC-TT-889-58,ML Touring Pedal - Black- 58,1669.0,S ,2015-09-12,
5421,AC-PU-879-62,LL HL Mountain Front Wheel - Black- 62,1687.0,R ,2019-01-22,2022-09-04
2642,AC-BC-653-38,ML ML Road Handlebars - Red- 38,3237.0,R ,2013-09-05,2016-08-27
4744,BI-TB-964-38,LL Touring Tire Tube - Blue- 38,2595.0,R ,2019-08-03,2020-09-04
3740,CO-CH-469-42,LL ML Mountain Handlebars - Black- 42,367.0,M ,2011-09-02,
2706,CL-TI-157-42,ML ML Mountain Pedal - Silver- 42,,M ,2025-03-04,
3743,CO-BB-643-52,ML HL Road Pedal - Black- 52,1362.0,M ,2011-10-10,2014-03-11
456,AC-PA-246-38,ML Full - Silver- 38,1931.0,S ,2016-10-01,
2899,CO-HS-708-48,LL LL Mountain Pedal - Black- 48,27.0,R ,2021-04-08,
527,CO-BR-725-62,HL LL Touring Frame - Silver- 62,290.0,S ,2021-01-27,
4537,CO-RF-408-60,ML Men's Sports Shorts - Silver- 60,1871.0,M ,2011-04-19,
6283,CO-BB-694-48,LL LL Mountain Pedal - Black- 48,2493.0,M ,2017-05-28,
5167,AC-FE-359-62,LL Men's Sports Shorts - Black- 62,2085.0,S ,2017-08-28,
2300,AC-TT-236-52,HL Bike Wash - Blue- 52,1106.0,,2020-03-14,
6816,AC-PU-320-48,HL HL Crankset - Silver- 48,1727.0,R ,2015-06-12,2019-10-23
3974,CO-SA-725-62,LL LL Bottom Bracket - White- 62,3422.0,M ,2021-04-07,
3057,CL-VE-809-58,ML HL Mountain Pedal - Black- 58,1501.0,M ,2022-06-15,
6876,AC-CL-723-60,HL ML Road Handlebars - Red- 60,720.0,S ,2024-06-08,
4260,BI-TB-932-44,LL Touring - Silver- 44,2939.0,M ,2022-07-03,2023-08-21
6818,AC-BR-922-52,ML LL Headset - White- 52,2706.0,R ,2018-12-11,2022-10-20
2267,CO-WH-249-62,LL HL Fork - Yellow- 62,,S ,2022-08-27,
4672,AC-TT-354-48,HL LL Headset - White- 48,1212.0,M ,2025-03-18,
5827,CL-TI-211-48,HL Mountain Tire Tube - Yellow- 48,361.0,T ,2012-09-21,2012-08-10
4973,BI-RB-140-62,LL HL Mountain Seat/Saddle - White- 62,611.0,M ,2023-09-16,
5724,CL-BS-183-42,ML LL Mountain Seat/Saddle - Silver- 42,516.0,M ,2018-09-22,
4561,CL-SO-272-62,LL HL Mountain Rear Wheel - Yellow- 62,,M ,2017-06-29,
4502,CO-MF-402-52,ML ML Road Front Wheel - White- 52,463.0,R ,2020-01-08,2023-11-02
2867,AC-TT-691-44,HL Sport - Silver- 44,2950.0,R ,2018-07-23,2018-01-03
3150,CO-DE-898-44,ML Touring Rear Wheel - Red- 44,1611.0,,2013-05-12,
6099,CO-BB-713-62,ML LL Road Tire - Black- 62,2913.0,R ,2013-09-27,2014-07-03
