CID,BDATE,GEN
NASAW00011084,1966-07-19,M
NASAW00011085,1958-09-06,Female
NASAW00011086,1988-03-04,Female
NASAW00011087,2004-05-05,MALE
NASAW00011088,1978-11-19,M
NASAW00011089,1995-10-01,
NASAW00011090,1968-09-28,MALE
NASAW00011091,2003-11-30,FEMALE
NASAW00011092,1974-06-16,Male
NASAW00011093,1995-12-06,Female
NASAW00011094,1970-08-05,FEMALE
NASAW00011095,1975-01-21,F
NASAW00011096,1987-09-11,F
NASAW00011097,1981-07-11,Male
NASAW00011098,1960-12-09,FEMALE
NASAW00011099,2002-04-20,F
NASAW00011100,1954-01-21,  
AW00011101,1978-11-03,Female
NASAW00011102,1959-05-11,MALE
NASAW00011103,1992-06-19,M
NASAW00011104,1967-01-14,m
NASAW00011105,1982-12-06,f 
NASAW00011106,1960-06-16,  
NASAW00011107,1983-10-27,f 
NASAW00011108,1991-09-17,FEMALE
NASAW00011109,1973-09-07,Female
NASAW00011110,1970-10-13,F
NASAW00011111,1958-04-29,FEMALE
NASAW00011112,1986-08-21,M
NASAW00011113,1975-02-21,M
NASAW00011114,1974-05-15,F
NASAW00011115,1977-09-02,Female
NASAW00011116,1950-10-05,Male
NASAW00011117,1955-06-01,f 
NASAW00011118,1833-09-02,MALE
NASAW00011119,1987-10-20,f 
NASAW00011120,1965-08-10,
NASAW00011121,1965-01-29,FEMALE
NASAW00011122,1960-09-10,  
NASAW00011123,1999-10-11,
AW00011124,2058-04-14,Male
NASAW00011125,2002-05-09,FEMALE
NASAW00011126,1963-02-20,
AW00011127,1950-11-11,M
NASAW00011128,1984-05-27,M
NASAW00011129,1985-10-16,M
NASAW00011130,1975-11-12,  
NASAW00011131,1994-12-08,MALE
NASAW00011132,1974-12-19,f 
NASAW00011133,1961-02-01,f 
NASAW00011134,1983-08-03,FEMALE
NASAW00011135,1981-05-05,m
NASAW00011136,1983-06-06,  
NASAW00011137,1964-06-06,  
NASAW00011138,1969-07-28,  
NASAW00011139,2003-03-25,Female
NASAW00011140,1962-05-10,m
NASAW00011141,1960-03-10,Female
NASAW00011142,1959-09-24,  
NASAW00011143,1988-01-13,MALE
NASAW00011144,1971-09-27,F
NASAW00011145,1981-05-25,MALE
NASAW00011146,1995-02-04,Female
NASAW00011147,2002-08-05,M
NASAW00011148,1980-02-12,  
NASAW00011149,1969-12-03,M
AW00011150,1978-04-08,Female
NASAW00011151,1955-06-17,F
NASAW00011152,1973-08-14,
NASAW00011153,2002-06-01,Male
NASAW00011154,1960-10-27,f 
NASAW00011155,1997-03-01,Male
NASAW00011156,1955-06-14,F
NASAW00011157,1971-12-23,FEMALE
NASAW00011158,1984-01-23,MALE
NASAW00011159,1970-12-26,Male
NASAW00011160,1964-08-07,M
NASAW00011161,1963-01-03,  
NASAW00011162,1962-04-28,Male
NASAW00011163,1968-12-02,FEMALE
NASAW00011164,1983-01-02,FEMALE
NASAW00011165,1992-03-06,Male
NASAW00011166,1998-10-25,M
NASAW00011167,1954-09-24,f 
NASAW00011168,1996-08-04,
NASAW00011169,1950-02-25,
NASAW00011170,1997-12-25,f 
NASAW00011171,1990-08-23,Male
NASAW00011172,1965-06-08,M
NASAW00011173,1990-10-21,Male
NASAW00011174,1988-08-29,Male
NASAW00011175,1963-08-23,  
NASAW00011176,1987-07-08,Female
NASAW00011177,1989-01-28,  
NASAW00011178,2004-04-27,Female
NASAW00011179,1982-01-20,F
NASAW00011180,1967-08-11,FEMALE
NASAW00011181,1996-08-26,m
NASAW00011182,1996-03-26,Male
NASAW00011183,1986-04-16,
NASAW00011184,1976-06-16,  
NASAW00011185,1973-12-13,MALE
NASAW00011186,1986-02-23,F
NASAW00011187,1952-02-13,
NASAW00011188,1976-08-26,m
NASAW00011189,1984-12-20,f 
NASAW00011190,1963-01-08,m
NASAW00011191,1960-10-09,Female
NASAW00011192,1985-09-05,  
NASAW00011193,1962-11-12,F
NASAW00011194,1987-05-02,Female
NASAW00011195,1973-12-06,MALE
NASAW00011196,1964-03-28,FEMALE
NASAW00011197,1968-02-21,Female
NASAW00011198,1986-04-18,Male
NASAW00011199,1979-04-07,F
NASAW00011200,1996-05-10,F
NASAW00011201,1972-05-09,f 
NASAW00011202,1974-01-16,Female
NASAW00011203,1952-09-05,M
NASAW00011204,1953-08-15,m
NASAW00011205,1990-11-19,Male
NASAW00011206,1993-11-22,  
NASAW00011207,1952-07-19,F
NASAW00011208,1984-12-01,m
NASAW00011209,2002-08-20,
NASAW00011210,1979-01-27,
NASAW00011211,1979-05-04,M
NASAW00011212,1996-07-19,m
NASAW00011213,1968-03-27,f 
NASAW00011214,1963-05-13,f 
NASAW00011215,1953-02-21,Female
NASAW00011216,1954-08-01,Female
AW00011217,1984-03-24,f 
NASAW00011218,2002-08-21,  
NASAW00011219,1984-08-17,
NASAW00011220,2004-09-05,FEMALE
NASAW00011221,1967-08-17,  
NASAW00011222,1997-12-02,f 
NASAW00011223,1952-10-19,  
NASAW00011224,1989-04-23,Male
NASAW00011225,2000-06-27,M
NASAW00011226,1970-11-16,FEMALE
NASAW00011227,1966-04-26,f 
NASAW00011228,1989-02-23,f 
NASAW00011229,1959-04-15,FEMALE
NASAW00011230,1972-11-21,m
AW00011231,2037-01-27,M
NASAW00011232,1958-06-21,M
NASAW00011233,1980-06-21,Female
NASAW00011234,1959-03-30,FEMALE
NASAW00011235,1990-07-25,F
NASAW00011236,1988-12-02,Male
NASAW00011237,1987-06-08,Male
NASAW00011238,1954-01-09,  
NASAW00011239,1991-03-30,
NASAW00011240,2002-01-09,  
NASAW00011241,1967-05-04,MALE
NASAW00011242,1956-02-20,MALE
AW00011243,1998-02-21,  
NASAW00011244,1958-08-31,f 
NASAW00011245,2000-08-12,F
NASAW00011246,2001-08-24,f 
NASAW00011247,1986-03-01,f 
NASAW00011248,1993-04-04,  
NASAW00011249,1998-07-20,Male
NASAW00011250,1963-09-07,Female
NASAW00011251,1955-10-28,f 
NASAW00011252,1986-11-19,Female
AW00011253,1988-04-25,f 
NASAW00011254,1993-11-16,f 
NASAW00011255,1960-07-14,Female
NASAW00011256,1969-11-09,m
NASAW00011257,1990-03-23,MALE
NASAW00011258,1980-02-18,M
NASAW00011259,1997-07-01,  
NASAW00011260,1955-01-13,
NASAW00011261,1956-06-06,Female
NASAW00011262,1977-07-24,f 
NASAW00011263,1999-03-18,Male
NASAW00011264,1973-12-16,
NASAW00011265,1966-01-09,
NASAW00011266,1967-12-10,M
AW00011267,1976-07-02,Female
NASAW00011268,1995-08-29,f 
NASAW00011269,1994-01-31,Male
NASAW00011270,1962-02-05,FEMALE
NASAW00011271,1971-10-21,
NASAW00011272,1993-08-16,f 
NASAW00011273,2003-07-14,  
NASAW00011274,1965-04-21,f 
NASAW00011275,1961-02-07,Male
NASAW00011276,2002-05-12,FEMALE
NASAW00011277,1975-07-29,FEMALE
AW00011278,1994-06-18,Male
NASAW00011279,1983-05-10,M
NASAW00011280,1968-01-15,Female
NASAW00011281,2001-12-14,
NASAW00011282,1999-04-18,FEMALE
NASAW00011283,1954-05-14,Male
NASAW00011284,1984-03-20,f 
NASAW00011285,1958-10-08,m
NASAW00011286,1966-12-13,Male
NASAW00011287,1966-07-22,M
NASAW00011288,1983-08-04,MALE
NASAW00011289,1985-04-24,F
NASAW00011290,1968-07-19,Female
NASAW00011291,1952-02-16,m
NASAW00011292,1970-02-01,F
NASAW00011293,1988-09-03,F
NASAW00011294,1988-12-31,MALE
NASAW00011295,1986-06-13,FEMALE
NASAW00011296,1995-03-19,
NASAW00011297,1984-03-30,f 
NASAW00011298,1962-10-28,FEMALE
NASAW00011299,1971-11-25,Female
NASAW00011300,1971-06-22,Female
NASAW00011301,1971-12-06,Female
NASAW00011302,1959-04-16,  
NASAW00011303,1996-02-20,m
NASAW00011304,1985-03-28,Male
NASAW00011305,1991-07-10,Female
NASAW00011306,1973-12-14,
NASAW00011307,1975-03-26,FEMALE
NASAW00011308,1992-09-21,Female
NASAW00011309,1979-04-18,f 
AW00011310,1972-05-18,f 
NASAW00011311,1967-03-25,  
NASAW00011312,1952-12-12,MALE
NASAW00011313,1991-02-13,Male
NASAW00011314,2003-04-08,f 
NASAW00011315,1990-10-05,F
NASAW00011316,1950-04-08,  
NASAW00011317,1961-05-29,Male
NASAW00011318,1975-07-02,m
NASAW00011319,1998-05-02,FEMALE
NASAW00011320,1972-02-26,m
NASAW00011321,1967-12-23,M
NASAW00011322,1976-05-31,f 
NASAW00011323,1954-01-26,M
NASAW00011324,1962-12-09,Male
NASAW00011325,1987-11-30,m
NASAW00011326,1957-03-22,M
NASAW00011327,1994-07-19,Female
NASAW00011328,1975-04-25,f 
NASAW00011329,1966-07-03,MALE
NASAW00011330,1999-10-22,
NASAW00011331,1963-04-20,Male
NASAW00011332,1989-03-05,M
NASAW00011333,1985-12-14,f 
NASAW00011334,1982-11-21,Male
NASAW00011335,1967-11-06,MALE
NASAW00011336,1987-12-12,MALE
NASAW00011337,1964-09-04,Female
NASAW00011338,1951-04-15,m
NASAW00011339,1956-05-01,
NASAW00011340,1956-09-05,FEMALE
NASAW00011341,1974-05-10,F
NASAW00011342,1971-04-20,  
NASAW00011343,1957-12-01,Female
NASAW00011344,2003-09-05,FEMALE
NASAW00011345,2000-08-08,FEMALE
NASAW00011346,1972-12-03,F
NASAW00011347,1992-12-30,M
NASAW00011348,1989-04-03,M
AW00011349,1987-05-31,
NASAW00011350,2000-10-21,f 
NASAW00011351,1965-02-10,F
NASAW00011352,1955-03-28,
NASAW00011353,1987-04-27,
NASAW00011354,1971-08-01,
NASAW00011355,1969-11-25,f 
NASAW00011356,1975-10-05,  
NASAW00011357,1972-11-15,Female
NASAW00011358,2053-04-26,M
NASAW00011359,1995-07-28,
NASAW00011360,1956-10-06,
NASAW00011361,1993-06-15,MALE
NASAW00011362,1992-12-17,FEMALE
NASAW00011363,1963-12-03,F
NASAW00011364,1974-11-03,MALE
NASAW00011365,1990-10-28,MALE
NASAW00011366,1982-08-08,f 
AW00011367,1999-10-15,f 
NASAW00011368,2004-06-20,M
NASAW00011369,1962-04-11,FEMALE
NASAW00011370,1959-05-23,F
NASAW00011371,1980-05-30,
NASAW00011372,1969-06-21,f 
NASAW00011373,1951-11-15,FEMALE
NASAW00011374,1991-10-14,FEMALE
NASAW00011375,1983-07-17,  
AW00011376,1963-11-23,FEMALE
NASAW00011377,1811-04-18,  
NASAW00011378,1961-01-22,FEMALE
NASAW00011379,1992-10-13,m
NASAW00011380,1979-04-15,f 
NASAW00011381,1981-07-01,Male
NASAW00011382,2000-11-28,FEMALE
NASAW00011383,1990-06-10,Female
NASAW00011384,1984-10-11,f 
NASAW00011385,1998-05-03,FEMALE
AW00011386,1987-10-02,MALE
NASAW00011387,1962-09-23,m
NASAW00011388,1967-05-08,M
NASAW00011389,1967-08-02,Male
NASAW00011390,1991-12-14,F
NASAW00011391,1997-12-25,Female
NASAW00011392,2002-09-30,
AW00011393,1971-11-28,Male
NASAW00011394,1972-10-28,  
NASAW00011395,1975-06-03,Male
NASAW00011396,1982-04-05,FEMALE
NASAW00011397,1984-12-13,M
NASAW00011398,1982-01-28,FEMALE
NASAW00011399,1996-12-09,F
NASAW00011400,1983-03-30,
NASAW00011401,1975-07-14,MALE
NASAW00011402,1950-12-04,f 
NASAW00011403,1960-04-22,M
NASAW00011404,1980-07-24,Male
NASAW00011405,2002-04-21,MALE
NASAW00011406,1992-10-07,MALE
NASAW00011407,1978-04-06,
NASAW00011408,1981-07-06,Female
NASAW00011409,1988-01-14,FEMALE
NASAW00011410,1959-11-23,Male
NASAW00011411,1972-03-27,m
NASAW00011412,1982-05-12,
NASAW00011413,2000-02-21,Female
NASAW00011414,1967-04-07,FEMALE
AW00011415,1986-04-25,m
AW00011416,1987-11-07,Female
NASAW00011417,2003-02-03,  
NASAW00011418,1970-02-14,M
AW00011419,1953-11-11,FEMALE
NASAW00011420,1950-04-16,f 
NASAW00011421,1957-01-10,m
NASAW00011422,1952-04-06,m
NASAW00011423,1967-10-21,MALE
NASAW00011424,1960-05-28,MALE
NASAW00011425,2004-06-26,FEMALE
NASAW00011426,1954-11-21,m
NASAW00011427,1992-09-09,FEMALE
NASAW00011428,1962-01-19,  
NASAW00011429,1976-01-19,M
NASAW00011430,1985-01-24,Female
NASAW00011431,1976-07-04,Female
NASAW00011432,1994-10-04,Female
NASAW00011433,1984-06-23,
NASAW00011434,1953-10-11,
NASAW00011435,1981-02-10,M
NASAW00011436,1990-07-02,
AW00011437,1962-07-25,m
NASAW00011438,1950-01-25,m
NASAW00011439,1991-12-19,Female
NASAW00011440,1987-01-23,Male
NASAW00011441,1976-02-17,FEMALE
NASAW00011442,1951-12-04,  
NASAW00011443,1965-03-28,M
NASAW00011444,1997-05-24,Male
NASAW00011445,2053-02-10,m
NASAW00011446,1950-06-18,f 
NASAW00011447,1986-06-12,
NASAW00011448,1978-02-20,m
NASAW00011449,1968-05-15,f 
NASAW00011450,1976-01-20,  
NASAW00011451,1972-04-13,f 
NASAW00011452,1990-06-07,m
NASAW00011453,1973-08-17,m
NASAW00011454,1963-08-12,  
NASAW00011455,1974-06-21,M
NASAW00011456,1955-06-07,  
NASAW00011457,2002-08-16,m
NASAW00011458,1978-06-11,Male
NASAW00011459,1994-07-28,  
NASAW00011460,1964-07-01,Female
NASAW00011461,2041-11-23,MALE
NASAW00011462,1986-01-09,M
NASAW00011463,1965-06-11,m
NASAW00011464,1989-04-25,  
NASAW00011465,1956-03-12,MALE
NASAW00011466,1952-09-13,  
NASAW00011467,1983-11-11,f 
NASAW00011468,1961-01-31,MALE
NASAW00011469,1963-11-11,f 
NASAW00011470,1950-06-02,m
NASAW00011471,1987-12-21,Male
NASAW00011472,1979-09-05,
NASAW00011473,1983-07-23,  
NASAW00011474,1964-09-14,m
NASAW00011475,1973-08-19,MALE
NASAW00011476,1978-12-02,Male
NASAW00011477,1991-04-05,M
NASAW00011478,2001-01-07,m
NASAW00011479,2001-09-21,MALE
NASAW00011480,1965-02-08,MALE
NASAW00011481,2003-08-17,FEMALE
NASAW00011482,2002-04-24,Male
AW00011483,1971-09-18,Female
NASAW00011484,1956-11-22,f 
NASAW00011485,1969-04-21,Male
NASAW00011486,1987-06-18,MALE
NASAW00011487,1995-11-27,MALE
NASAW00011488,1957-07-23,Male
NASAW00011489,1985-01-07,f 
NASAW00011490,1956-05-28,FEMALE
NASAW00011491,1972-07-08,Female
NASAW00011492,1952-10-05,Male
NASAW00011493,2002-07-02,  
NASAW00011494,1989-05-07,M
NASAW00011495,1972-02-22,M
NASAW00011496,1997-05-08,MALE
NASAW00011497,1956-01-03,FEMALE
NASAW00011498,1950-12-27,m
NASAW00011499,1995-04-09,
NASAW00011500,1951-04-09,M
NASAW00011501,1964-04-08,Female
NASAW00011502,1954-12-29,
AW00011503,1999-01-05,f 
NASAW00011504,1988-04-13,
NASAW00011505,1975-03-04,Male
NASAW00011506,1992-05-17,Female
NASAW00011507,1986-12-20,
NASAW00011508,2002-09-21,Female
NASAW00011509,1955-07-12,  
NASAW00011510,1973-11-19,F
NASAW00011511,2002-02-01,F
NASAW00011512,1980-10-30,MALE
NASAW00011513,1985-01-21,  
NASAW00011514,1969-07-27,m
NASAW00011515,1985-01-11,FEMALE
NASAW00011516,1969-05-10,MALE
NASAW00011517,1981-07-19,
NASAW00011518,1963-12-24,f 
NASAW00011519,2001-01-13,  
NASAW00011520,1971-05-21,Male
NASAW00011521,1975-10-23,
NASAW00011522,1971-01-17,  
NASAW00011523,1956-08-03,Male
NASAW00011524,1979-03-24,FEMALE
NASAW00011525,1991-03-04,m
NASAW00011526,1961-03-25,
NASAW00011527,1965-11-19,
AW00011528,1971-02-18,m
AW00011529,1984-09-19,
NASAW00011530,1968-05-20,m
NASAW00011531,1979-05-16,f 
NASAW00011532,1981-12-02,MALE
NASAW00011533,1972-11-26,m
NASAW00011534,1971-08-01,
NASAW00011535,1998-10-25,  
NASAW00011536,1958-03-08,FEMALE
NASAW00011537,1989-10-15,  
NASAW00011538,1988-12-29,f 
NASAW00011539,1990-01-01,MALE
NASAW00011540,1976-07-03,MALE
NASAW00011541,1990-11-19,F
NASAW00011542,1973-01-01,  
NASAW00011543,1957-09-11,Male
NASAW00011544,1988-01-31,FEMALE
NASAW00011545,1952-11-02,Female
NASAW00011546,1994-10-14,F
NASAW00011547,2003-04-15,Male
NASAW00011548,1994-05-05,f 
NASAW00011549,1965-03-26,FEMALE
NASAW00011550,1959-02-01,Male
NASAW00011551,1988-09-22,MALE
NASAW00011552,2002-10-25,  
NASAW00011553,1963-02-12,Female
NASAW00011554,1966-03-29,F
NASAW00011555,1970-06-28,Male
NASAW00011556,1974-05-25,f 
NASAW00011557,1975-07-08,Female
NASAW00011558,1963-07-22,F
NASAW00011559,1988-08-06,f 
NASAW00011560,1990-09-16,  
AW00011561,1992-02-20,m
NASAW00011562,1971-03-09,FEMALE
NASAW00011563,1968-06-04,
NASAW00011564,1964-10-07,
NASAW00011565,1983-01-09,Female
NASAW00011566,1966-08-15,FEMALE
NASAW00011567,2002-04-08,F
NASAW00011568,2002-04-25,M
NASAW00011569,1970-09-09,f 
NASAW00011570,1995-08-17,  
NASAW00011571,1998-09-20,Female
NASAW00011572,1964-04-02,MALE
NASAW00011573,1987-09-14,M
NASAW00011574,1988-05-02,Female
NASAW00011575,1972-12-12,
NASAW00011576,1999-09-06,M
NASAW00011577,1964-12-20,f 
NASAW00011578,1982-04-20,F
NASAW00011579,1957-11-13,m
AW00011580,2030-11-06,FEMALE
NASAW00011581,1982-05-10,m
NASAW00011582,1978-05-08,Female
NASAW00011583,1991-08-19,M
NASAW00011584,1965-06-13,FEMALE
NASAW00011585,1993-12-08,  
NASAW00011586,1977-10-27,FEMALE
NASAW00011587,1964-10-07,Female
AW00011588,1982-04-20,  
NASAW00011589,2003-02-17,Female
NASAW00011590,1979-10-03,Female
NASAW00011591,1959-10-01,f 
NASAW00011592,1978-03-02,
NASAW00011593,1955-03-15,Female
NASAW00011594,1952-05-18,f 
NASAW00011595,1968-03-18,
NASAW00011596,1958-01-23,F
NASAW00011597,1975-08-18,MALE
AW00011598,1952-10-10,M
NASAW00011599,1997-09-18,m
NASAW00011600,1969-01-27,MALE
NASAW00011601,1960-04-25,f 
AW00011602,1979-12-26,m
NASAW00011603,1973-02-06,FEMALE
NASAW00011604,1993-03-25,
NASAW00011605,1963-06-24,FEMALE
NASAW00011606,1973-08-08,f 
NASAW00011607,1964-10-17,Male
NASAW00011608,1957-03-27,F
NASAW00011609,1964-12-08,F
NASAW00011610,1989-12-28,F
NASAW00011611,1988-02-28,f 
NASAW00011612,1965-01-05,M
NASAW00011613,1954-05-09,F
NASAW00011614,1972-05-07,M
NASAW00011615,1954-12-03,MALE
AW00011616,1965-05-13,MALE
NASAW00011617,1969-01-14,
NASAW00011618,1973-02-22,Male
NASAW00011619,1977-05-13,  
NASAW00011620,1971-12-03,F
NASAW00011621,1978-06-22,  
NASAW00011622,1971-02-19,
NASAW00011623,1983-12-06,f 
NASAW00011624,1959-03-24,m
NASAW00011625,1972-06-07,m
NASAW00011626,1993-03-19,MALE
NASAW00011627,1964-11-10,FEMALE
NASAW00011628,1992-09-29,f 
NASAW00011629,1960-10-07,m
NASAW00011630,1975-12-08,m
NASAW00011631,1951-09-14,  
NASAW00011632,1982-04-28,Female
NASAW00011633,1971-03-19,M
NASAW00011634,1974-10-08,MALE
NASAW00011635,1979-07-10,M
NASAW00011636,1998-09-12,MALE
NASAW00011637,2053-09-21,Female
NASAW00011638,1954-02-08,F
NASAW00011639,1998-05-06,m
NASAW00011640,1973-03-24,FEMALE
NASAW00011641,1965-05-09,  
AW00011642,1997-07-20,M
NASAW00011643,1962-09-23,
NASAW00011644,1950-03-13,Female
NASAW00011645,1997-10-17,MALE
NASAW00011646,1987-03-06,MALE
NASAW00011647,1959-09-21,F
NASAW00011648,1962-07-24,M
NASAW00011649,1951-11-21,
NASAW00011650,1968-11-15,Male
NASAW00011651,1960-06-23,m
NASAW00011652,1959-03-07,m
NASAW00011653,1980-10-16,FEMALE
AW00011654,1963-07-15,F
NASAW00011655,1993-03-09,M
NASAW00011656,1979-01-14,MALE
NASAW00011657,1992-04-10,Female
NASAW00011658,1976-08-21,f 
NASAW00011659,1998-09-28,f 
NASAW00011660,1999-04-14,
NASAW00011661,1987-09-22,FEMALE
NASAW00011662,1957-07-20,
NASAW00011663,1982-03-15,
NASAW00011664,1999-04-14,
AW00011665,1964-09-08,m
NASAW00011666,1998-07-02,M
NASAW00011667,1950-03-04,F
NASAW00011668,1989-10-26,F
NASAW00011669,1984-01-10,MALE
NASAW00011670,1994-06-13,MALE
NASAW00011671,1951-08-07,F
AW00011672,2000-05-01,Male
NASAW00011673,1996-08-25,  
NASAW00011674,1994-04-14,m
NASAW00011675,1972-11-12,FEMALE
NASAW00011676,1982-05-13,m
NASAW00011677,1950-08-13,MALE
NASAW00011678,1990-03-25,M
NASAW00011679,1956-11-01,MALE
NASAW00011680,1966-11-29,Male
NASAW00011681,1950-06-03,f 
NASAW00011682,1970-06-18,MALE
NASAW00011683,1960-01-30,F
NASAW00011684,1952-04-26,Male
NASAW00011685,1952-09-11,M
NASAW00011686,1990-04-23,MALE
NASAW00011687,1847-04-24,
NASAW00011688,1953-05-18,  
NASAW00011689,1987-12-14,MALE
NASAW00011690,1972-01-05,  
NASAW00011691,1999-02-10,Female
NASAW00011692,1973-05-10,  
AW00011693,1956-10-27,F
NASAW00011694,1998-08-27,FEMALE
NASAW00011695,1995-08-01,F
NASAW00011696,1978-10-03,Female
NASAW00011697,1972-09-19,m
NASAW00011698,1992-02-12,Male
NASAW00011699,1971-04-24,Female
NASAW00011700,1989-07-07,FEMALE
NASAW00011701,1966-09-23,Female
NASAW00011702,1996-10-27,Male
NASAW00011703,1992-09-15,Male
NASAW00011704,1953-03-05,F
NASAW00011705,1967-03-26,Male
AW00011706,1819-07-14,MALE
NASAW00011707,1977-07-23,  
NASAW00011708,1964-10-27,f 
NASAW00011709,1975-05-17,MALE
NASAW00011710,1954-11-17,m
NASAW00011711,1952-02-18,Female
NASAW00011712,2001-02-19,Male
NASAW00011713,1985-04-19,m
NASAW00011714,1989-02-20,FEMALE
NASAW00011715,1979-06-26,MALE
NASAW00011716,1970-08-30,FEMALE
NASAW00011717,1974-05-22,FEMALE
NASAW00011718,1979-06-21,F
NASAW00011719,1976-06-05,FEMALE
NASAW00011720,1992-02-26,f 
NASAW00011721,1986-09-05,m
NASAW00011722,1957-03-28,FEMALE
NASAW00011723,2000-12-31,F
AW00011724,1983-06-03,f 
NASAW00011725,1983-07-01,F
NASAW00011726,1962-05-09,  
NASAW00011727,2000-09-17,M
NASAW00011728,1987-06-04,FEMALE
NASAW00011729,1978-03-30,F
NASAW00011730,1961-02-17,m
NASAW00011731,1988-09-30,  
NASAW00011732,2030-06-16,
NASAW00011733,1952-10-29,m
NASAW00011734,1992-02-01,Male
NASAW00011735,1990-06-09,Male
NASAW00011736,1965-06-07,f 
NASAW00011737,1994-03-31,
NASAW00011738,1995-10-02,FEMALE
AW00011739,1957-04-20,Female
NASAW00011740,1952-11-05,
NASAW00011741,2002-10-05,FEMALE
NASAW00011742,1965-03-17,m
NASAW00011743,2003-08-25,Female
NASAW00011744,1996-05-14,  
NASAW00011745,1993-08-08,
NASAW00011746,1996-09-27,Female
NASAW00011747,2002-08-11,Male
NASAW00011748,1964-01-19,
NASAW00011749,1961-12-03,m
NASAW00011750,1960-02-23,MALE
NASAW00011751,1977-07-26,MALE
NASAW00011752,1976-01-05,
NASAW00011753,1982-07-17,Female
NASAW00011754,1999-12-05,m
NASAW00011755,2001-04-04,M
NASAW00011756,2001-11-09,Male
NASAW00011757,1951-01-09,MALE
NASAW00011758,1979-07-14,MALE
NASAW00011759,1951-11-17,f 
NASAW00011760,1963-12-14,MALE
NASAW00011761,1964-04-21,FEMALE
NASAW00011762,1950-02-09,  
NASAW00011763,1962-10-13,FEMALE
NASAW00011764,1975-10-25,MALE
NASAW00011765,1986-08-06,F
NASAW00011766,1979-09-07,M
NASAW00011767,1959-02-26,Male
NASAW00011768,1983-06-14,MALE
NASAW00011769,1950-10-22,MALE
NASAW00011770,1983-10-07,F
AW00011771,1954-04-15,F
NASAW00011772,1994-02-24,f 
NASAW00011773,1971-12-28,Female
NASAW00011774,1952-03-01,FEMALE
NASAW00011775,1968-04-28,m
NASAW00011776,1986-06-20,f 
NASAW00011777,1959-10-15,m
NASAW00011778,1996-10-24,MALE
NASAW00011779,1959-04-20,M
AW00011780,1968-06-18,FEMALE
NASAW00011781,1975-11-21,
NASAW00011782,1991-08-28,m
NASAW00011783,1977-07-10,f 
NASAW00011784,1997-06-24,MALE
NASAW00011785,1984-12-28,F
